name,team,position,wc2026
Nikola Vasilj,Bosnia and Herzegovina,Goalkeeper,True
Mladen Jurkas,Bosnia and Herzegovina,Goalkeeper,True
Martin Zlomislic,Bosnia and Herzegovina,Goalkeeper,True
Nihad Mujakic,Bosnia and Herzegovina,Defender,True
Dennis Hadzikadunic,Bosnia and Herzegovina,Defender,True
Tarik Muharemovic,Bosnia and Herzegovina,Defender,True
Sead Kolasinac,Bosnia and Herzegovina,Defender,True
Amar Dedic,Bosnia and Herzegovina,Defender,True
Nikola Katic,Bosnia and Herzegovina,Defender,True
Stjepan Radeljic,Bosnia and Herzegovina,Defender,True
Nidal Celik,Bosnia and Herzegovina,Defender,True
Benjamin Tahirovic,Bosnia and Herzegovina,Midfield,True
Armin Gigovic,Bosnia and Herzegovina,Midfield,True
Ivan Basic,Bosnia and Herzegovina,Midfield,True
Ivan Sunjic,Bosnia and Herzegovina,Midfield,True
Amar Memic,Bosnia and Herzegovina,Midfield,True
Amir Hadziahmetovic,Bosnia and Herzegovina,Midfield,True
Dzenis Burnic,Bosnia and Herzegovina,Midfield,True
Ermin Mahmic,Bosnia and Herzegovina,Midfield,True
Samed Bazdar,Bosnia and Herzegovina,Attack,True
Ermedin Demirovic,Bosnia and Herzegovina,Attack,True
Edin Dzeko,Bosnia and Herzegovina,Attack,True
Kerim Alajbegovic,Bosnia and Herzegovina,Attack,True
Esmir Bajraktarevic,Bosnia and Herzegovina,Attack,True
Haris Tabakovic,Bosnia and Herzegovina,Attack,True
Jovo Lukic,Bosnia and Herzegovina,Attack,True
Mahmud Abunada,Qatar,Goalkeeper,True
Salah Zakaria,Qatar,Goalkeeper,True
Meshaal Barsham,Qatar,Goalkeeper,True
Pedro Miguel,Qatar,Defender,True
Lucas Mendes,Qatar,Defender,True
Issa Laye,Qatar,Defender,True
Ayoub Al-Oui,Qatar,Defender,True
Homam Ahmed,Qatar,Defender,True
Boualem Khoukhi,Qatar,Defender,True
Sultan Al-Brake,Qatar,Defender,True
Al-Hashmi Al-Hussain,Qatar,Defender,True
Jassem Gaber,Qatar,Midfield,True
Abdulaziz Hatem,Qatar,Midfield,True
Karim Boudiaf,Qatar,Midfield,True
Ahmed Fathy,Qatar,Midfield,True
Assim Madibo,Qatar,Midfield,True
Mohamed Al-Mannai,Qatar,Midfield,True
Ahmed Alaaeldin,Qatar,Attack,True
Edmilson Junior,Qatar,Attack,True
Mohammed Muntari,Qatar,Attack,True
Hassan Al-Haydos,Qatar,Attack,True
Akram Afif,Qatar,Attack,True
Yusuf Abdurisag,Qatar,Attack,True
Ahmed Al-Ganehi,Qatar,Attack,True
Almoez Ali,Qatar,Attack,True
Tahsin Jamshid,Qatar,Attack,True
Gregor Kobel,Switzerland,Goalkeeper,True
Yvon Mvogo,Switzerland,Goalkeeper,True
Marvin Keller,Switzerland,Goalkeeper,True
Miro Muheim,Switzerland,Defender,True
Silvan Widmer,Switzerland,Defender,True
Nico Elvedi,Switzerland,Defender,True
Manuel Akanji,Switzerland,Defender,True
Ricardo Rodriguez,Switzerland,Defender,True
Eray Comert,Switzerland,Defender,True
Aurele Amenda,Switzerland,Defender,True
Luca Jaquez,Switzerland,Defender,True
Denis Zakaria,Switzerland,Midfield,True
Remo Freuler,Switzerland,Midfield,True
Johan Manzambi,Switzerland,Midfield,True
Granit Xhaka,Switzerland,Midfield,True
Ardon Jashari,Switzerland,Midfield,True
Djibril Sow,Switzerland,Midfield,True
Christian Fassnacht,Switzerland,Midfield,True
Michel Aebischer,Switzerland,Midfield,True
Fabian Rieder,Switzerland,Midfield,True
Breel Embolo,Switzerland,Attack,True
Dan Ndoye,Switzerland,Attack,True
Ruben Vargas,Switzerland,Attack,True
Noah Okafor,Switzerland,Attack,True
Zeki Amdouni,Switzerland,Attack,True
Cedric Itten,Switzerland,Attack,True
Alisson,Brazil,Goalkeeper,True
Weverton,Brazil,Goalkeeper,True
Ederson,Brazil,Goalkeeper,True
Wesley,Brazil,Defender,True
Gabriel Magalhaes,Brazil,Defender,True
Marquinhos,Brazil,Defender,True
Alex Sandro,Brazil,Defender,True
Danilo Luiz,Brazil,Defender,True
Bremer,Brazil,Defender,True
Leo Pereira,Brazil,Defender,True
Douglas Santos,Brazil,Defender,True
Roger Ibanez,Brazil,Defender,True
Casemiro,Brazil,Midfield,True
Bruno Guimaraes,Brazil,Midfield,True
Fabinho,Brazil,Midfield,True
Danilo Santos,Brazil,Midfield,True
Lucas Paqueta,Brazil,Midfield,True
Vinicius Junior,Brazil,Attack,True
Matheus Cunha,Brazil,Attack,True
Neymar,Brazil,Attack,True
Raphinha,Brazil,Attack,True
Endrick,Brazil,Attack,True
Luiz Henrique,Brazil,Attack,True
Gabriel Martinelli,Brazil,Attack,True
Igor Thiago,Brazil,Attack,True
Rayan,Brazil,Attack,True
Yassine Bounou,Morocco,Goalkeeper,True
Munir Mohamedi,Morocco,Goalkeeper,True
