name,team,position,wc2026
Hans Vanaken,Belgium,Midfield,True
Alexis Saelemaekers,Belgium,Midfield,True
Nicolas Raskin,Belgium,Midfield,True
Amadou Onana,Belgium,Midfield,True
Romelu Lukaku,Belgium,Attack,True
Leandro Trossard,Belgium,Attack,True
Jeremy Doku,Belgium,Attack,True
Dodi Lukebakio,Belgium,Attack,True
Charles De Ketelaere,Belgium,Attack,True
Matias Fernandez-Pardo,Belgium,Attack,True
Mohamed El Shenawy,Egypt,Goalkeeper,True
El Mahdy Soliman,Egypt,Goalkeeper,True
Mostafa Shobeir,Egypt,Goalkeeper,True
Mohamed Alaa,Egypt,Goalkeeper,True
Yasser Ibrahim,Egypt,Defender,True
Mohamed Hany,Egypt,Defender,True
Hossam Abdelmaguid,Egypt,Defender,True
Ramy Rabia,Egypt,Defender,True
Mohamed Abdelmonem,Egypt,Defender,True
Ahmed Abou El Fotouh,Egypt,Defender,True
Karim Hafez,Egypt,Defender,True
Tarek Alaa,Egypt,Defender,True
Emam Ashour,Egypt,Midfield,True
Mostafa Ziko,Egypt,Midfield,True
Hamdy Fathy,Egypt,Midfield,True
Mohanad Lasheen,Egypt,Midfield,True
Nabil Emad,Egypt,Midfield,True
Marwan Attia,Egypt,Midfield,True
Mahmoud Saber,Egypt,Midfield,True
Trezeguet,Egypt,Attack,True
Hamza Abdelkarim,Egypt,Attack,True
Mohamed Salah,Egypt,Attack,True
Haissem Hassan,Egypt,Attack,True
Ibrahim Adel,Egypt,Attack,True
Omar Marmoush,Egypt,Attack,True
Zizo,Egypt,Attack,True
Alireza Beiranvand,Iran,Goalkeeper,True
Payam Niazmand,Iran,Goalkeeper,True
Hossein Hosseini,Iran,Goalkeeper,True
Saleh Hardani,Iran,Defender,True
Ehsan Hajsafi,Iran,Defender,True
Shojae Khalilzadeh,Iran,Defender,True
Milad Mohammadi,Iran,Defender,True
Hossein Kanaanizadegan,Iran,Defender,True
Aria Yousefi,Iran,Defender,True
Ali Nemati,Iran,Defender,True
Ramin Rezaeian,Iran,Defender,True
Danial Eiri,Iran,Defender,True
Saeid Ezatolahi,Iran,Midfield,True
Alireza Jahanbakhsh,Iran,Midfield,True
Mohammad Mohebi,Iran,Midfield,True
Saman Ghoddos,Iran,Midfield,True
Rouzbeh Cheshmi,Iran,Midfield,True
Mehdi Torabi,Iran,Midfield,True
Mohammad Ghorbani,Iran,Midfield,True
Amirmohammad Rassaghinia,Iran,Midfield,True
Mehdi Taremi,Iran,Attack,True
Mehdi Ghayedi,Iran,Attack,True
Ali Alipour,Iran,Attack,True
Amirhossein Hosseinzadeh,Iran,Attack,True
Shahriyar Moghanlou,Iran,Attack,True
Dennis Eckert,Iran,Attack,True
Max Crocombe,New Zealand,Goalkeeper,True
Alex Paulsen,New Zealand,Goalkeeper,True
Michael Woud,New Zealand,Goalkeeper,True
Tim Payne,New Zealand,Defender,True
Francis De Vries,New Zealand,Defender,True
Tyler Bindon,New Zealand,Defender,True
Michael Boxall,New Zealand,Defender,True
Liberato Cacace,New Zealand,Defender,True
Nando Pijnaker,New Zealand,Defender,True
Finn Surman,New Zealand,Defender,True
Callan Elliot,New Zealand,Defender,True
Tommy Smith,New Zealand,Defender,True
Joe Bell,New Zealand,Midfield,True
Marko Stamenic,New Zealand,Midfield,True
Alex Rufer,New Zealand,Midfield,True
Ryan Thomas,New Zealand,Midfield,True
Lachlan Bayliss,New Zealand,Midfield,True
Matt Garbett,New Zealand,Attack,True
Chris Wood,New Zealand,Attack,True
Sarpreet Singh,New Zealand,Attack,True
Eli Just,New Zealand,Attack,True
Kosta Barbarouses,New Zealand,Attack,True
Ben Waine,New Zealand,Attack,True
Ben Old,New Zealand,Attack,True
Callum McCowatt,New Zealand,Attack,True
Jesse Randall,New Zealand,Attack,True
David Raya,Spain,Goalkeeper,True
Joan Garcia,Spain,Goalkeeper,True
Unai Simon,Spain,Goalkeeper,True
Marc Pubill,Spain,Defender,True
Alex Grimaldo,Spain,Defender,True
Eric Garcia,Spain,Defender,True
Marcos Llorente,Spain,Defender,True
Pedro Porro,Spain,Defender,True
Aymeric Laporte,Spain,Defender,True
Pau Cubarsi,Spain,Defender,True
Marc Cucurella,Spain,Defender,True
Mikel Merino,Spain,Midfield,True
Fabian Ruiz,Spain,Midfield,True
Gavi,Spain,Midfield,True
Dani Olmo,Spain,Midfield,True
Alex Baena,Spain,Midfield,True
Rodri,Spain,Midfield,True
Martin Zubimendi,Spain,Midfield,True
Pedri,Spain,Midfield,True
Ferran Torres,Spain,Attack,True
Yeremy Pino,Spain,Attack,True
Nico Williams,Spain,Attack,True
Lamine Yamal,Spain,Attack,True
Mikel Oyarzabal,Spain,Attack,True
Victor Munoz,Spain,Attack,True
Borja Iglesias,Spain,Attack,True
Vozinha,Cape Verde,Goalkeeper,True
Marcio Rosa,Cape Verde,Goalkeeper,True
CJ dos Santos,Cape Verde,Goalkeeper,True
Stopira,Cape Verde,Defender,True
Diney,Cape Verde,Defender,True
Roberto Lopes,Cape Verde,Defender,True
Logan Costa,Cape Verde,Defender,True
Sidny Lopes Cabral,Cape Verde,Defender,True
Steven Moreira,Cape Verde,Defender,True
Wagner Pina,Cape Verde,Defender,True
Kelvin Pires,Cape Verde,Defender,True
Kevin Pina,Cape Verde,Midfield,True
Jovane Cabral,Cape Verde,Midfield,True
Joao Paulo,Cape Verde,Midfield,True
Jamiro Monteiro,Cape Verde,Midfield,True
Deroy Duarte,Cape Verde,Midfield,True
Laros Duarte,Cape Verde,Midfield,True
Yannick Semedo,Cape Verde,Midfield,True
Telmo Arcanjo,Cape Verde,Midfield,True
Nuno da Costa,Cape Verde,Midfield,True
Gilson Benchimol,Cape Verde,Attack,True
Garry Rodrigues,Cape Verde,Attack,True
Willy Semedo,Cape Verde,Attack,True
Dailon Livramento,Cape Verde,Attack,True
Ryan Mendes,Cape Verde,Attack,True
Helio Varela,Cape Verde,Attack,True
Nawaf Al-Aqidi,Saudi Arabia,Goalkeeper,True
Mohammed Al-Owais,Saudi Arabia,Goalkeeper,True
Ahmed Al-Kasser,Saudi Arabia,Goalkeeper,True
Ali Majrashi,Saudi Arabia,Defender,True
Ali Lajami,Saudi Arabia,Defender,True
Abdulelah Al-Amri,Saudi Arabia,Defender,True
Hassan Al-Tambakti,Saudi Arabia,Defender,True
Saud Abdulhamid,Saudi Arabia,Defender,True
Nawaf Boushal,Saudi Arabia,Defender,True
Hassan Kadesh,Saudi Arabia,Defender,True
Moteb Al-Harbi,Saudi Arabia,Defender,True
Jehad Thakri,Saudi Arabia,Defender,True
Mohammed Abu Al-Shamat,Saudi Arabia,Defender,True
Nasser Al-Dawsari,Saudi Arabia,Midfield,True
Musab Al-Juwayr,Saudi Arabia,Midfield,True
Abdullah Al-Khaibari,Saudi Arabia,Midfield,True
Ziyad Al-Johani,Saudi Arabia,Midfield,True
Alla Al-Heiji,Saudi Arabia,Midfield,True
Mohamed Kanno,Saudi Arabia,Midfield,True
Ayman Yahya,Saudi Arabia,Attack,True
Firas Al-Buraikan,Saudi Arabia,Attack,True
Salem Al-Dawsari,Saudi Arabia,Attack,True
Saleh Al-Shehri,Saudi Arabia,Attack,True
Khalid Al-Ghannam,Saudi Arabia,Attack,True
Abdullah Al-Hamdan,Saudi Arabia,Attack,True
Sultan Mandash,Saudi Arabia,Attack,True
Sergio Rochet,Uruguay,Goalkeeper,True
Santiago Mele,Uruguay,Goalkeeper,True
Fernando Muslera,Uruguay,Goalkeeper,True
Jose Maria Gimenez,Uruguay,Defender,True
Sebastian Caceres,Uruguay,Defender,True
Ronald Araujo,Uruguay,Defender,True
Guillermo Varela,Uruguay,Defender,True
Mathias Olivera,Uruguay,Defender,True
Matias Vina,Uruguay,Defender,True
Santiago Bueno,Uruguay,Defender,True
Manuel Ugarte,Uruguay,Midfield,True
Rodrigo Bentancur,Uruguay,Midfield,True
Nicolas de la Cruz,Uruguay,Midfield,True
Federico Valverde,Uruguay,Midfield,True
Giogian de Arrascaeta,Uruguay,Midfield,True
Agustin Canobbio,Uruguay,Midfield,True
Maximiliano Araujo,Uruguay,Midfield,True
Emiliano Martinez,Uruguay,Midfield,True
Joaquin Piquerez,Uruguay,Midfield,True
Juan Manuel Sanabria,Uruguay,Midfield,True
Rodrigo Zalazar,Uruguay,Midfield,True
Darwin Nunez,Uruguay,Attack,True
Facundo Pellistri,Uruguay,Attack,True
Brian Rodriguez,Uruguay,Attack,True
Rodrigo Aguirre,Uruguay,Attack,True
Federico Vinas,Uruguay,Attack,True
Brice Samba,France,Goalkeeper,True
Mike Maignan,France,Goalkeeper,True
Robin Risser,France,Goalkeeper,True
Malo Gusto,France,Defender,True
Lucas Digne,France,Defender,True
Dayot Upamecano,France,Defender,True
Jules Kounde,France,Defender,True
Ibrahima Konate,France,Defender,True
William Saliba,France,Defender,True
Theo Hernandez,France,Defender,True
Lucas Hernandez,France,Defender,True
Maxence Lacroix,France,Defender,True
Manu Kone,France,Midfield,True
Aurelien Tchouameni,France,Midfield,True
N'Golo Kante,France,Midfield,True
Adrien Rabiot,France,Midfield,True
Warren Zaire-Emery,France,Midfield,True
Ousmane Dembele,France,Attack,True
Marcus Thuram,France,Attack,True
Kylian Mbappe,France,Attack,True
Michael Olise,France,Attack,True
Bradley Barcola,France,Attack,True
Desire Doue,France,Attack,True
Jean-Philippe Mateta,France,Attack,True
Rayan Cherki,France,Attack,True
Maghnes Akliouche,France,Attack,True
Edouard Mendy,Senegal,Goalkeeper,True
Mory Diaw,Senegal,Goalkeeper,True
Yehvann Diouf,Senegal,Goalkeeper,True
Kalidou Koulibaly,Senegal,Defender,True
Krepin Diatta,Senegal,Defender,True
Moussa Niakhite,Senegal,Defender,True
Ismail Jakobs,Senegal,Defender,True
Abdoulaye Seck,Senegal,Defender,True
El Hadji Malick Diouf,Senegal,Defender,True
Mamadou Sarr,Senegal,Defender,True
Antoine Mendy,Senegal,Defender,True
Idrissa Gueye,Senegal,Midfield,True
Pape Gueye,Senegal,Midfield,True
Pape Matar Sarr,Senegal,Midfield,True
Pathe Ciss,Senegal,Midfield,True
Lamine Camara,Senegal,Midfield,True
Habib Diarra,Senegal,Midfield,True
Bara Ndiaye,Senegal,Midfield,True
Sadio Mane,Senegal,Attack,True
Ismaila Sarr,Senegal,Attack,True
Iliman Ndiaye,Senegal,Attack,True
Nicolas Jackson,Senegal,Attack,True
Bamba Dieng,Senegal,Attack,True
Cherif Ndiaye,Senegal,Attack,True
Ibrahim Mbaye,Senegal,Attack,True
Assane Diao,Senegal,Attack,True
Fahad Talib,Iraq,Goalkeeper,True
Jalal Hassan,Iraq,Goalkeeper,True
Ahmed Basil,Iraq,Goalkeeper,True
Rebin Sulaka,Iraq,Defender,True
Hussein Ali,Iraq,Defender,True
Zaid Tahseen,Iraq,Defender,True
Akam Hashim,Iraq,Defender,True
Manaf Younis,Iraq,Defender,True
Ahmed Maknzi,Iraq,Defender,True
Merchas Doski,Iraq,Defender,True
Mustafa Saadoon,Iraq,Defender,True
Frans Putros,Iraq,Defender,True
Youssef Amyn,Iraq,Midfield,True
Ibrahim Bayesh,Iraq,Midfield,True
Zidane Iqbal,Iraq,Midfield,True
Amir Al-Ammari,Iraq,Midfield,True
Kevin Yakob,Iraq,Midfield,True
Aimar Sher,Iraq,Midfield,True
Zaid Ismail,Iraq,Midfield,True
Ali Al-Hamadi,Iraq,Attack,True
Mohanad Ali,Iraq,Attack,True
Ahmed Qasem,Iraq,Attack,True
Ali Yousuf,Iraq,Attack,True
Ali Jasim,Iraq,Attack,True
Aymen Hussein,Iraq,Attack,True
Marko Farji,Iraq,Attack,True
Orjan Nyland,Norway,Goalkeeper,True
Sander Tangvik,Norway,Goalkeeper,True
Egil Selvik,Norway,Goalkeeper,True
Kristoffer Ajer,Norway,Defender,True
Leo Ostigard,Norway,Defender,True
David Moller Wolfe,Norway,Defender,True
Fredrik Andre Bjorkan,Norway,Defender,True
Marcus Holmgren Pedersen,Norway,Defender,True
Torbjorn Heggem,Norway,Defender,True
Sondre Langas,Norway,Defender,True
Henrik Falchener,Norway,Defender,True
Mathias Normann,Norway,Midfield,True
Sander Berge,Norway,Midfield,True
Martin Odegaard,Norway,Midfield,True
Fredrik Aursnes,Norway,Midfield,True
Kristian Thorstvedt,Norway,Midfield,True
Julian Ryerson,Norway,Midfield,True
Erling Haaland,Norway,Attack,True
Alexander Sorloth,Norway,Attack,True
Jens Petter Hauge,Norway,Attack,True
Ohi Omoijuanfo,Norway,Attack,True
Emiliano Martinez,Argentina,Goalkeeper,True
Geronimo Rulli,Argentina,Goalkeeper,True
Juan Musso,Argentina,Goalkeeper,True
Leonardo Balerdi,Argentina,Defender,True
Nicolas Tagliafico,Argentina,Defender,True
Gonzalo Montiel,Argentina,Defender,True
Lisandro Martinez,Argentina,Defender,True
Cristian Romero,Argentina,Defender,True
Nicolas Otamendi,Argentina,Defender,True
Facundo Medina,Argentina,Defender,True
Nahuel Molina,Argentina,Defender,True
Leandro Paredes,Argentina,Midfield,True
Rodrigo De Paul,Argentina,Midfield,True
Valentin Barco,Argentina,Midfield,True
Giovani Lo Celso,Argentina,Midfield,True
Exequiel Palacios,Argentina,Midfield,True
Enzo Fernandez,Argentina,Midfield,True
Alexis Mac Allister,Argentina,Midfield,True
Julian Alvarez,Argentina,Attack,True
Lionel Messi,Argentina,Attack,True
Nicolas Gonzalez,Argentina,Attack,True
Thiago Almada,Argentina,Attack,True
Giuliano Simeone,Argentina,Attack,True
Nico Paz,Argentina,Attack,True
Jose Manuel Lopez,Argentina,Attack,True
Lautaro Martinez,Argentina,Attack,True
Oussama Benbot,Algeria,Goalkeeper,True
Melvin Masstil,Algeria,Goalkeeper,True
Luca Zidane,Algeria,Goalkeeper,True
Ramy Bensebaini,Algeria,Defender,True
Djamel Benlamri,Algeria,Defender,True
Aissa Mandi,Algeria,Defender,True
Mehdi Zerkane,Algeria,Defender,True
Hichem Boudaoui,Algeria,Defender,True
Farid Boulaya,Algeria,Defender,True
Ismael Bennacer,Algeria,Defender,True
Sofiane Feghouli,Algeria,Midfield,True
Youcef Atal,Algeria,Midfield,True
Samy Mmaee,Algeria,Midfield,True
Andy Delort,Algeria,Midfield,True
Islam Slimani,Algeria,Midfield,True
Samir Benrahma,Algeria,Midfield,True
Riyad Mahrez,Algeria,Attack,True
Baghdad Bounedjah,Algeria,Attack,True
Billal Brahimi,Algeria,Attack,True
Amir Sayoud,Algeria,Attack,True
Mohamed Amoura,Algeria,Attack,True
Nassim Slimane,Algeria,Attack,True
Patrick Pentz,Austria,Goalkeeper,True
Heinz Lindner,Austria,Goalkeeper,True
Daniel Bachmann,Austria,Goalkeeper,True
Maximilian Wober,Austria,Defender,True
Philipp Lienhart,Austria,Defender,True
Kevin Danso,Austria,Defender,True
Stefan Posch,Austria,Defender,True
Phillipp Mwene,Austria,Defender,True
Flavius Daniliuc,Austria,Defender,True
Leopold Querfeld,Austria,Defender,True
Marcel Sabitzer,Austria,Midfield,True
Florian Grillitsch,Austria,Midfield,True
Christoph Baumgartner,Austria,Midfield,True
Nicolas Seiwald,Austria,Midfield,True
Patrick Wimmer,Austria,Midfield,True
Philipp Lienhart,Austria,Midfield,True
Romano Schmid,Austria,Midfield,True
Konrad Laimer,Austria,Midfield,True
Marko Arnautovic,Austria,Attack,True
Michael Gregoritsch,Austria,Attack,True
Andreas Weimann,Austria,Attack,True
Patrick Wimmer,Austria,Attack,True
Florian Kainz,Austria,Attack,True
Guido Burgstaller,Austria,Attack,True
Mika Biereth,Austria,Attack,True
Khaled Al-Bawwab,Jordan,Goalkeeper,True
Ibrahim Abu Zaid,Jordan,Goalkeeper,True
Rami Hamadeh,Jordan,Goalkeeper,True
Yazan Al-Naimat,Jordan,Defender,True
Baha Faisal,Jordan,Defender,True
Mohammad Al-Dmeiri,Jordan,Defender,True
Shadi Abu Hashhash,Jordan,Defender,True
Raed Saleh,Jordan,Defender,True
Ahmad Ibrahim,Jordan,Defender,True
Basel Hafsa,Jordan,Defender,True
Musa Al-Tamari,Jordan,Midfield,True
Ihsan Haddad,Jordan,Midfield,True
Yazan Alaaeldin,Jordan,Midfield,True
Ahmad Salam,Jordan,Midfield,True
Hussam Abul Foul,Jordan,Midfield,True
Abdallah Nasib,Jordan,Midfield,True
Obada Al-Aqrabawi,Jordan,Midfield,True
Ali Olwan,Jordan,Attack,True
Mahmoud Al-Mardi,Jordan,Attack,True
Firas Al-Hajj,Jordan,Attack,True
Khaled Al-Azzam,Jordan,Attack,True
Ahmad Qandah,Jordan,Attack,True
Hamza Alriyati,Jordan,Attack,True
Diogo Costa,Portugal,Goalkeeper,True
Jose Sa,Portugal,Goalkeeper,True
Rui Silva,Portugal,Goalkeeper,True
Ruben Dias,Portugal,Defender,True
Joao Cancelo,Portugal,Defender,True
Nuno Mendes,Portugal,Defender,True
Pepe,Portugal,Defender,True
Danilo Pereira,Portugal,Defender,True
Antonio Silva,Portugal,Defender,True
Toti Gomes,Portugal,Defender,True
Nelson Semedo,Portugal,Defender,True
Bruno Fernandes,Portugal,Midfield,True
Joao Palhinha,Portugal,Midfield,True
Vitinha,Portugal,Midfield,True
Bernardo Silva,Portugal,Midfield,True
Ruben Neves,Portugal,Midfield,True
Joao Neves,Portugal,Midfield,True
Otavio,Portugal,Midfield,True
Cristiano Ronaldo,Portugal,Attack,True
Rafael Leao,Portugal,Attack,True
Pedro Neto,Portugal,Attack,True
Joao Felix,Portugal,Attack,True
Goncalo Ramos,Portugal,Attack,True
Pedro Gonçalves,Portugal,Attack,True
Diogo Jota,Portugal,Attack,True
Bruma,Portugal,Attack,True
Joel Kiassumbua,DR Congo,Goalkeeper,True
Lionel Mpasi,DR Congo,Goalkeeper,True
Arsene Zola,DR Congo,Goalkeeper,True
Chancel Mbemba,DR Congo,Defender,True
Marcel Tisserand,DR Congo,Defender,True
Ngonda Muzinga,DR Congo,Defender,True
Joel Beya,DR Congo,Defender,True
Arthur Masuaku,DR Congo,Defender,True
Meschak Elia,DR Congo,Defender,True
Fiston Mayele,DR Congo,Defender,True
Yoane Wissa,DR Congo,Midfield,True
Cédric Bakambu,DR Congo,Midfield,True
Ilaix Moriba,DR Congo,Midfield,True
Nany Ngolo,DR Congo,Midfield,True
Tokelo Rantie,DR Congo,Midfield,True
Gael Kakuta,DR Congo,Midfield,True
Samuel Moutoussamy,DR Congo,Midfield,True
Silas,DR Congo,Attack,True
Meschak Elia,DR Congo,Attack,True
Christian Luyindama,DR Congo,Attack,True
Fiston Mayele,DR Congo,Attack,True
Jonathan Bolingi,DR Congo,Attack,True
Britt Assombalonga,DR Congo,Attack,True
Jeremy Doku,DR Congo,Attack,True
Eldorbek Suyunov,Uzbekistan,Goalkeeper,True
Jasurbek Yakhshiboev,Uzbekistan,Goalkeeper,True
Abbosbek Fayzullaev,Uzbekistan,Goalkeeper,True
Eldor Shomurodov,Uzbekistan,Defender,True
Ikrom Alibaev,Uzbekistan,Defender,True
Sherzod Qodirov,Uzbekistan,Defender,True
Bobur Abdikholiqov,Uzbekistan,Defender,True
Husan Toshmatov,Uzbekistan,Defender,True
Jahongir Sidiqov,Uzbekistan,Defender,True
Otabek Shukurov,Uzbekistan,Defender,True
Jaloliddin Masharipov,Uzbekistan,Midfield,True
Otabek Fayzullaev,Uzbekistan,Midfield,True
Khurshid Tursunov,Uzbekistan,Midfield,True
Dostonbek Khamdamov,Uzbekistan,Midfield,True
Eldor Shomurodov,Uzbekistan,Midfield,True
Jamshid Iskanderov,Uzbekistan,Midfield,True
Abbosbek Fayzullaev,Uzbekistan,Midfield,True
Eldor Shomurodov,Uzbekistan,Attack,True
Bobur Abdikholiqov,Uzbekistan,Attack,True
Oybek Bozorov,Uzbekistan,Attack,True
Shamsiddin Yakhshiboev,Uzbekistan,Attack,True
Feruz Djalilov,Uzbekistan,Attack,True
David Ospina,Colombia,Goalkeeper,True
Camilo Vargas,Colombia,Goalkeeper,True
Alvaro Montero,Colombia,Goalkeeper,True
Daniel Munoz,Colombia,Defender,True
Davinson Sanchez,Colombia,Defender,True
Yerry Mina,Colombia,Defender,True
Johan Mojica,Colombia,Defender,True
Carlos Cuesta,Colombia,Defender,True
Oscar Murillo,Colombia,Defender,True
Stefan Medina,Colombia,Defender,True
Jefferson Lerma,Colombia,Midfield,True
Mateus Uribe,Colombia,Midfield,True
Richard Rios,Colombia,Midfield,True
Juan Cuadrado,Colombia,Midfield,True
Sebastian Villa,Colombia,Midfield,True
Juan Fernando Quintero,Colombia,Midfield,True
Luis Diaz,Colombia,Attack,True
Jhon Duran,Colombia,Attack,True
Rafael Santos Borre,Colombia,Attack,True
Cucho Hernandez,Colombia,Attack,True
Miguel Borja,Colombia,Attack,True
Radamel Falcao,Colombia,Attack,True
Jhon Arias,Colombia,Attack,True
Jordan Pickford,England,Goalkeeper,True
Dean Henderson,England,Goalkeeper,True
James Trafford,England,Goalkeeper,True
Reece James,England,Defender,True
Ezri Konsa,England,Defender,True
Jarell Quansah,England,Defender,True
John Stones,England,Defender,True
Marc Guehi,England,Defender,True
Dan Burn,England,Defender,True
Nico O'Reilly,England,Defender,True
Djed Spence,England,Defender,True
Tino Livramento,England,Defender,True
Declan Rice,England,Midfield,True
Elliot Anderson,England,Midfield,True
Kobbie Mainoo,England,Midfield,True
Jordan Henderson,England,Midfield,True
Morgan Rogers,England,Midfield,True
Jude Bellingham,England,Midfield,True
Eberechi Eze,England,Midfield,True
Harry Kane,England,Attack,True
Ivan Toney,England,Attack,True
Ollie Watkins,England,Attack,True
Bukayo Saka,England,Attack,True
Marcus Rashford,England,Attack,True
Anthony Gordon,England,Attack,True
Noni Madueke,England,Attack,True
Dominik Livakovic,Croatia,Goalkeeper,True
Ivica Ivusic,Croatia,Goalkeeper,True
Ivo Grbic,Croatia,Goalkeeper,True
Josip Juranovic,Croatia,Defender,True
Borna Sosa,Croatia,Defender,True
Duje Caleta-Car,Croatia,Defender,True
Martin Erlic,Croatia,Defender,True
Josip Stanisic,Croatia,Defender,True
Domagoj Vida,Croatia,Defender,True
Domagoj Bradaric,Croatia,Defender,True
Luka Modric,Croatia,Midfield,True
Mateo Kovacic,Croatia,Midfield,True
Marcelo Brozovic,Croatia,Midfield,True
Ivan Perisic,Croatia,Midfield,True
Mario Pasalic,Croatia,Midfield,True
Lovro Majer,Croatia,Midfield,True
Martin Baturina,Croatia,Midfield,True
Andrej Kramaric,Croatia,Attack,True
Bruno Petkovic,Croatia,Attack,True
Ivan Perisic,Croatia,Attack,True
Marko Livaja,Croatia,Attack,True
Petar Suchic,Croatia,Attack,True
Luka Ivanusec,Croatia,Attack,True
Lawrence Ati-Zigi,Ghana,Goalkeeper,True
Ibrahim Danlad,Ghana,Goalkeeper,True
Frederick Asare,Ghana,Goalkeeper,True
Andy Yiadom,Ghana,Defender,True
Abdul Mumin,Ghana,Defender,True
Alexander Djiku,Ghana,Defender,True
Daniel Amartey,Ghana,Defender,True
Gideon Mensah,Ghana,Defender,True
Baba Rahman,Ghana,Defender,True
Alidu Seidu,Ghana,Defender,True
Tariq Lamptey,Ghana,Defender,True
Thomas Partey,Ghana,Midfield,True
Mohammed Kudus,Ghana,Midfield,True
Daniel-Kofi Kyereh,Ghana,Midfield,True
Iddrisu Baba,Ghana,Midfield,True
Andre Ayew,Ghana,Midfield,True
Salis Abdul Samed,Ghana,Midfield,True
Elisha Owusu,Ghana,Midfield,True
Kamaldeen Sulemana,Ghana,Attack,True
Christopher Bonsu Baah,Ghana,Attack,True
Ernest Nuamah,Ghana,Attack,True
Antoine Semenyo,Ghana,Attack,True
Brandon Thomas-Asante,Ghana,Attack,True
Prince Kwabena Adu,Ghana,Attack,True
Inaki Williams,Ghana,Attack,True
Jordan Ayew,Ghana,Attack,True
Orlando Mosquera,Panama,Goalkeeper,True
Luis Mejia,Panama,Goalkeeper,True
Cesar Samudio,Panama,Goalkeeper,True
Cesar Blackman,Panama,Defender,True
Jorge Gutierrez,Panama,Defender,True
Amir Murillo,Panama,Defender,True
Fidel Escobar,Panama,Defender,True
Andres Andrade,Panama,Defender,True
Edgardo Farina,Panama,Defender,True
Jose Cordoba,Panama,Defender,True
Eric Davis,Panama,Defender,True
Jiovany Ramos,Panama,Defender,True
Roderick Miller,Panama,Defender,True
Anibal Godoy,Panama,Midfield,True
Carlos Harvey,Panama,Midfield,True
Cristian Martinez,Panama,Midfield,True
Jose Luis Rodriguez,Panama,Midfield,True
Cesar Yanis,Panama,Midfield,True
Yoel Barcenas,Panama,Midfield,True
Azarias Londono,Panama,Midfield,True
Adalberto Carrasquilla,Panama,Midfield,True
Alberto Quintero,Panama,Midfield,True
Ismael Diaz,Panama,Attack,True
Cecilio Waterman,Panama,Attack,True
Jose Fajardo,Panama,Attack,True
Tomas Rodriguez,Panama,Attack,True
